dataset,sequenceLength,task,userid
birdstrikes1,1,t1,01
birdstrikes1,3,t1,01
birdstrikes1,3,t1,01
birdstrikes1,6,t1,05
birdstrikes1,4,t1,05
birdstrikes1,6,t1,05
birdstrikes1,1,t1,05
birdstrikes1,1,t1,05
birdstrikes1,4,t1,09
birdstrikes1,1,t1,09
birdstrikes1,6,t1,09
birdstrikes1,7,t1,09
birdstrikes1,2,t1,109
birdstrikes1,8,t1,109
birdstrikes1,1,t1,109
birdstrikes1,2,t1,13
birdstrikes1,15,t1,13
birdstrikes1,16,t1,25
birdstrikes1,4,t1,25
birdstrikes1,2,t1,25
birdstrikes1,1,t1,25
birdstrikes1,11,t1,25
birdstrikes1,9,t1,33
birdstrikes1,1,t1,33
birdstrikes1,2,t1,33
birdstrikes1,3,t1,37
birdstrikes1,3,t1,37
birdstrikes1,3,t1,53
birdstrikes1,2,t1,53
birdstrikes1,2,t1,53
birdstrikes1,15,t1,53
birdstrikes1,2,t1,57
birdstrikes1,12,t1,57
birdstrikes1,1,t1,61
birdstrikes1,15,t1,61
birdstrikes1,3,t1,61
birdstrikes1,8,t1,61
birdstrikes1,11,t1,61
birdstrikes1,1,t1,61
birdstrikes1,1,t1,61
birdstrikes1,3,t1,61
birdstrikes1,1,t1,61
birdstrikes1,5,t1,73
birdstrikes1,4,t1,73
birdstrikes1,2,t1,73
birdstrikes1,3,t1,77
birdstrikes1,6,t1,77
birdstrikes1,1,t1,77
birdstrikes1,1,t1,81
birdstrikes1,1,t1,81
birdstrikes1,5,t1,81
birdstrikes1,1,t1,81
birdstrikes1,1,t1,81
birdstrikes1,1,t1,97
birdstrikes1,1,t1,97
birdstrikes1,2,t2,01
birdstrikes1,1,t2,05
birdstrikes1,1,t2,05
birdstrikes1,3,t2,05
birdstrikes1,5,t2,09
birdstrikes1,3,t2,09
birdstrikes1,1,t2,09
birdstrikes1,4,t2,09
birdstrikes1,2,t2,109
birdstrikes1,2,t2,109
birdstrikes1,1,t2,109
birdstrikes1,3,t2,109
birdstrikes1,1,t2,109
birdstrikes1,1,t2,13
birdstrikes1,3,t2,13
birdstrikes1,2,t2,13
birdstrikes1,1,t2,13
birdstrikes1,5,t2,25
birdstrikes1,2,t2,25
birdstrikes1,6,t2,29
birdstrikes1,1,t2,29
birdstrikes1,2,t2,29
birdstrikes1,1,t2,33
birdstrikes1,5,t2,33
birdstrikes1,12,t2,33
birdstrikes1,5,t2,33
birdstrikes1,5,t2,37
birdstrikes1,1,t2,37
birdstrikes1,2,t2,37
birdstrikes1,2,t2,37
birdstrikes1,6,t2,53
birdstrikes1,1,t2,53
birdstrikes1,1,t2,53
birdstrikes1,3,t2,57
birdstrikes1,3,t2,57
birdstrikes1,2,t2,57
birdstrikes1,5,t2,57
birdstrikes1,2,t2,57
birdstrikes1,6,t2,61
birdstrikes1,7,t2,73
birdstrikes1,2,t2,73
birdstrikes1,2,t2,73
birdstrikes1,2,t2,73
birdstrikes1,5,t2,73
birdstrikes1,10,t2,73
birdstrikes1,2,t2,73
birdstrikes1,5,t2,73
birdstrikes1,1,t2,77
birdstrikes1,5,t2,77
birdstrikes1,5,t2,77
birdstrikes1,2,t2,77
birdstrikes1,1,t2,81
birdstrikes1,3,t2,81
birdstrikes1,5,t2,81
birdstrikes1,2,t2,97
birdstrikes1,7,t2,97
birdstrikes1,3,t2,97
birdstrikes1,4,t2,97
birdstrikes1,7,t2,97
birdstrikes1,5,t2,97
birdstrikes1,2,t3,01
birdstrikes1,1,t3,05
birdstrikes1,4,t3,05
birdstrikes1,1,t3,05
birdstrikes1,8,t3,05
birdstrikes1,2,t3,05
birdstrikes1,2,t3,05
birdstrikes1,2,t3,09
birdstrikes1,1,t3,09
birdstrikes1,1,t3,09
birdstrikes1,3,t3,09
birdstrikes1,7,t3,09
birdstrikes1,1,t3,109
birdstrikes1,1,t3,109
birdstrikes1,1,t3,109
birdstrikes1,2,t3,109
birdstrikes1,5,t3,109
birdstrikes1,21,t3,109
birdstrikes1,1,t3,13
birdstrikes1,1,t3,13
birdstrikes1,2,t3,13
birdstrikes1,1,t3,13
birdstrikes1,1,t3,13
birdstrikes1,4,t3,13
birdstrikes1,2,t3,13
birdstrikes1,1,t3,25
birdstrikes1,5,t3,25
birdstrikes1,9,t3,25
birdstrikes1,4,t3,29
birdstrikes1,1,t3,29
birdstrikes1,4,t3,29
birdstrikes1,9,t3,33
birdstrikes1,1,t3,33
birdstrikes1,7,t3,33
birdstrikes1,1,t3,33
birdstrikes1,12,t3,33
birdstrikes1,4,t3,37
birdstrikes1,1,t3,37
birdstrikes1,1,t3,37
birdstrikes1,2,t3,53
birdstrikes1,1,t3,53
birdstrikes1,1,t3,53
birdstrikes1,1,t3,53
birdstrikes1,1,t3,53
birdstrikes1,3,t3,57
birdstrikes1,1,t3,57
birdstrikes1,3,t3,57
birdstrikes1,1,t3,61
birdstrikes1,1,t3,61
birdstrikes1,2,t3,61
birdstrikes1,4,t3,61
birdstrikes1,7,t3,61
birdstrikes1,5,t3,61
birdstrikes1,4,t3,73
birdstrikes1,4,t3,73
birdstrikes1,3,t3,73
birdstrikes1,2,t3,73
birdstrikes1,5,t3,77
birdstrikes1,1,t3,77
birdstrikes1,8,t3,77
birdstrikes1,2,t3,77
birdstrikes1,6,t3,77
birdstrikes1,8,t3,77
birdstrikes1,2,t3,81
birdstrikes1,2,t3,81
birdstrikes1,1,t3,81
birdstrikes1,3,t3,85
birdstrikes1,2,t3,85
birdstrikes1,7,t3,97
birdstrikes1,3,t3,97
birdstrikes1,8,t3,97
birdstrikes1,4,t4,01
birdstrikes1,1,t4,01
birdstrikes1,3,t4,01
birdstrikes1,2,t4,01
birdstrikes1,2,t4,01
birdstrikes1,3,t4,01
birdstrikes1,1,t4,01
birdstrikes1,5,t4,05
birdstrikes1,8,t4,05
birdstrikes1,5,t4,05
birdstrikes1,5,t4,05
birdstrikes1,4,t4,05
birdstrikes1,1,t4,05
birdstrikes1,3,t4,09
birdstrikes1,6,t4,09
birdstrikes1,6,t4,09
birdstrikes1,4,t4,09
birdstrikes1,8,t4,09
birdstrikes1,3,t4,109
birdstrikes1,1,t4,109
birdstrikes1,1,t4,109
birdstrikes1,5,t4,109
birdstrikes1,1,t4,109
birdstrikes1,3,t4,109
birdstrikes1,1,t4,13
birdstrikes1,4,t4,13
birdstrikes1,1,t4,13
birdstrikes1,4,t4,13
birdstrikes1,1,t4,13
birdstrikes1,4,t4,25
birdstrikes1,15,t4,25
birdstrikes1,1,t4,25
birdstrikes1,3,t4,25
birdstrikes1,4,t4,25
birdstrikes1,2,t4,25
birdstrikes1,1,t4,25
birdstrikes1,1,t4,29
birdstrikes1,1,t4,29
birdstrikes1,2,t4,29
birdstrikes1,2,t4,29
birdstrikes1,2,t4,29
birdstrikes1,2,t4,29
birdstrikes1,4,t4,29
birdstrikes1,1,t4,29
birdstrikes1,9,t4,33
birdstrikes1,1,t4,33
birdstrikes1,2,t4,33
birdstrikes1,10,t4,33
birdstrikes1,2,t4,33
birdstrikes1,5,t4,33
birdstrikes1,6,t4,33
birdstrikes1,1,t4,37
birdstrikes1,3,t4,37
birdstrikes1,8,t4,37
birdstrikes1,5,t4,37
birdstrikes1,8,t4,37
birdstrikes1,1,t4,37
birdstrikes1,6,t4,37
birdstrikes1,1,t4,53
birdstrikes1,1,t4,53
birdstrikes1,1,t4,53
birdstrikes1,1,t4,53
birdstrikes1,1,t4,53
birdstrikes1,4,t4,53
birdstrikes1,1,t4,53
birdstrikes1,1,t4,53
birdstrikes1,1,t4,57
birdstrikes1,5,t4,57
birdstrikes1,2,t4,57
birdstrikes1,1,t4,57
birdstrikes1,1,t4,57
birdstrikes1,1,t4,57
birdstrikes1,6,t4,57
birdstrikes1,3,t4,57
birdstrikes1,2,t4,61
birdstrikes1,3,t4,61
birdstrikes1,5,t4,61
birdstrikes1,3,t4,73
birdstrikes1,3,t4,73
birdstrikes1,1,t4,73
birdstrikes1,1,t4,73
birdstrikes1,5,t4,73
birdstrikes1,7,t4,73
birdstrikes1,4,t4,73
birdstrikes1,1,t4,77
birdstrikes1,6,t4,77
birdstrikes1,7,t4,77
birdstrikes1,12,t4,77
birdstrikes1,2,t4,77
birdstrikes1,1,t4,77
birdstrikes1,1,t4,77
birdstrikes1,1,t4,77
birdstrikes1,2,t4,81
birdstrikes1,2,t4,81
birdstrikes1,2,t4,81
birdstrikes1,1,t4,81
birdstrikes1,3,t4,81
birdstrikes1,1,t4,85
birdstrikes1,2,t4,85
birdstrikes1,1,t4,85
birdstrikes1,10,t4,85
birdstrikes1,10,t4,85
birdstrikes1,1,t4,97
birdstrikes1,4,t4,97
birdstrikes1,1,t4,97
birdstrikes1,2,t4,97
birdstrikes1,2,t4,97
birdstrikes1,3,t4,97
birdstrikes1,2,t4,97
faa1,1,t1,09
faa1,10,t1,09
faa1,4,t1,09
faa1,4,t1,109
faa1,12,t1,109
faa1,1,t1,109
faa1,2,t1,13
faa1,4,t1,13
faa1,1,t1,13
faa1,3,t1,21
faa1,2,t1,21
faa1,3,t1,21
faa1,1,t1,33
faa1,3,t1,33
faa1,4,t1,33
faa1,8,t1,33
faa1,4,t1,37
faa1,5,t1,37
faa1,1,t1,37
faa1,4,t1,37
faa1,3,t1,37
faa1,1,t1,41
faa1,7,t1,41
faa1,1,t1,41
faa1,3,t1,41
faa1,10,t1,45
faa1,2,t1,45
faa1,3,t1,57
faa1,1,t1,57
faa1,4,t1,57
faa1,6,t1,57
faa1,8,t1,65
faa1,2,t1,65
faa1,1,t1,65
faa1,1,t1,65
faa1,3,t1,65
faa1,5,t1,69
faa1,4,t1,69
faa1,2,t1,69
faa1,3,t1,69
faa1,4,t1,69
faa1,1,t1,69
faa1,4,t1,81
faa1,1,t1,81
faa1,3,t1,81
faa1,1,t1,81
faa1,1,t1,81
faa1,1,t1,81
faa1,1,t1,85
faa1,9,t1,89
faa1,5,t1,89
faa1,1,t1,89
faa1,1,t1,89
faa1,4,t1,89
faa1,8,t1,93
faa1,1,t1,93
faa1,11,t1,93
faa1,1,t1,93
faa1,1,t2,09
faa1,1,t2,09
faa1,5,t2,09
faa1,18,t2,09
faa1,2,t2,109
faa1,4,t2,109
faa1,2,t2,109
faa1,2,t2,13
faa1,3,t2,13
faa1,13,t2,21
faa1,10,t2,21
faa1,2,t2,21
faa1,5,t2,33
faa1,2,t2,33
faa1,10,t2,33
faa1,2,t2,37
faa1,3,t2,37
faa1,2,t2,37
faa1,1,t2,41
faa1,1,t2,41
faa1,2,t2,41
faa1,2,t2,41
faa1,8,t2,45
faa1,6,t2,45
faa1,1,t2,57
faa1,2,t2,57
faa1,2,t2,57
faa1,2,t2,57
faa1,1,t2,57
faa1,1,t2,57
faa1,1,t2,65
faa1,1,t2,65
faa1,2,t2,69
faa1,19,t2,69
faa1,5,t2,69
faa1,3,t2,69
faa1,2,t2,81
faa1,1,t2,85
faa1,2,t2,85
faa1,1,t2,85
faa1,1,t2,89
faa1,2,t2,89
faa1,2,t2,93
faa1,4,t2,93
faa1,9,t2,93
faa1,5,t3,09
faa1,1,t3,09
faa1,1,t3,109
faa1,3,t3,109
faa1,5,t3,109
faa1,8,t3,109
faa1,1,t3,13
faa1,2,t3,13
faa1,1,t3,21
faa1,2,t3,21
faa1,2,t3,21
faa1,4,t3,33
faa1,2,t3,33
faa1,7,t3,37
faa1,1,t3,37
faa1,2,t3,37
faa1,8,t3,37
faa1,2,t3,41
faa1,1,t3,41
faa1,1,t3,41
faa1,3,t3,41
faa1,2,t3,45
faa1,1,t3,45
faa1,2,t3,57
faa1,1,t3,57
faa1,3,t3,57
faa1,3,t3,57
faa1,4,t3,65
faa1,6,t3,69
faa1,3,t3,69
faa1,2,t3,69
faa1,3,t3,69
faa1,2,t3,69
faa1,9,t3,69
faa1,2,t3,69
faa1,3,t3,81
faa1,4,t3,81
faa1,5,t3,81
faa1,1,t3,81
faa1,3,t3,81
faa1,2,t3,85
faa1,5,t3,85
faa1,5,t3,85
faa1,1,t3,85
faa1,4,t3,89
faa1,1,t3,89
faa1,1,t3,89
faa1,2,t3,89
faa1,1,t3,89
faa1,7,t3,93
faa1,1,t3,93
faa1,8,t4,09
faa1,4,t4,09
faa1,1,t4,09
faa1,7,t4,09
faa1,3,t4,09
faa1,3,t4,09
faa1,4,t4,09
faa1,3,t4,109
faa1,7,t4,109
faa1,1,t4,109
faa1,4,t4,109
faa1,4,t4,109
faa1,3,t4,109
faa1,4,t4,13
faa1,5,t4,13
faa1,1,t4,13
faa1,1,t4,21
faa1,2,t4,21
faa1,6,t4,21
faa1,15,t4,21
faa1,5,t4,21
faa1,1,t4,33
faa1,8,t4,33
faa1,7,t4,33
faa1,3,t4,33
faa1,5,t4,33
faa1,18,t4,37
faa1,4,t4,37
faa1,3,t4,37
faa1,11,t4,37
faa1,1,t4,41
faa1,1,t4,41
faa1,1,t4,41
faa1,1,t4,41
faa1,3,t4,45
faa1,1,t4,45
faa1,4,t4,57
faa1,1,t4,57
faa1,1,t4,57
faa1,3,t4,57
faa1,9,t4,57
faa1,6,t4,57
faa1,4,t4,65
faa1,2,t4,69
faa1,3,t4,69
faa1,8,t4,69
faa1,9,t4,69
faa1,9,t4,69
faa1,3,t4,69
faa1,2,t4,81
faa1,8,t4,81
faa1,1,t4,81
faa1,2,t4,81
faa1,6,t4,81
faa1,4,t4,85
faa1,1,t4,89
faa1,1,t4,89
faa1,1,t4,89
faa1,4,t4,89
faa1,5,t4,89
faa1,4,t4,89
faa1,2,t4,89
faa1,3,t4,89
faa1,6,t4,89
faa1,7,t4,93
faa1,3,t4,93
faa1,3,t4,93
faa1,3,t4,93
faa1,2,t4,93
faa1,1,t4,93
weather1,1,t1,01
weather1,4,t1,01
weather1,3,t1,01
weather1,2,t1,01
weather1,9,t1,05
weather1,15,t1,05
weather1,2,t1,05
weather1,1,t1,05
weather1,3,t1,05
weather1,3,t1,113
weather1,5,t1,113
weather1,5,t1,117
weather1,3,t1,117
weather1,2,t1,117
weather1,3,t1,117
weather1,6,t1,117
weather1,7,t1,21
weather1,1,t1,21
weather1,11,t1,25
weather1,1,t1,29
weather1,5,t1,41
weather1,2,t1,41
weather1,1,t1,41
weather1,4,t1,41
weather1,4,t1,41
weather1,3,t1,41
weather1,1,t1,45
weather1,4,t1,45
weather1,4,t1,45
weather1,7,t1,53
weather1,22,t1,53
weather1,2,t1,65
weather1,4,t1,65
weather1,8,t1,69
weather1,4,t1,69
weather1,1,t1,69
weather1,1,t1,69
weather1,7,t1,73
weather1,2,t1,73
weather1,3,t1,73
weather1,9,t1,93
weather1,1,t1,93
weather1,1,t1,93
weather1,4,t1,97
weather1,2,t1,97
weather1,11,t2,01
weather1,6,t2,01
weather1,1,t2,01
weather1,9,t2,05
weather1,2,t2,05
weather1,10,t2,05
weather1,1,t2,05
weather1,2,t2,113
weather1,1,t2,113
weather1,2,t2,113
weather1,4,t2,113
weather1,3,t2,113
weather1,1,t2,113
weather1,6,t2,117
weather1,2,t2,117
weather1,1,t2,117
weather1,4,t2,117
weather1,2,t2,21
weather1,6,t2,21
weather1,2,t2,21
weather1,1,t2,21
weather1,1,t2,25
weather1,2,t2,25
weather1,3,t2,29
weather1,3,t2,29
weather1,1,t2,41
weather1,1,t2,41
weather1,6,t2,41
weather1,6,t2,41
weather1,3,t2,45
weather1,1,t2,45
weather1,9,t2,53
weather1,7,t2,53
weather1,5,t2,53
weather1,1,t2,53
weather1,4,t2,65
weather1,2,t2,69
weather1,1,t2,69
weather1,4,t2,69
weather1,3,t2,69
weather1,1,t2,69
weather1,2,t2,69
weather1,2,t2,69
weather1,5,t2,73
weather1,4,t2,73
weather1,1,t2,73
weather1,1,t2,73
weather1,1,t2,73
weather1,6,t2,73
weather1,1,t2,77
weather1,3,t2,77
weather1,2,t2,77
weather1,5,t2,77
weather1,3,t2,93
weather1,1,t2,93
weather1,1,t2,93
weather1,3,t2,93
weather1,2,t2,93
weather1,1,t2,97
weather1,4,t2,97
weather1,1,t2,97
weather1,1,t2,97
weather1,1,t2,97
weather1,1,t2,97
weather1,4,t3,01
weather1,4,t3,01
weather1,4,t3,05
weather1,6,t3,05
weather1,1,t3,05
weather1,4,t3,113
weather1,8,t3,113
weather1,7,t3,113
weather1,6,t3,117
weather1,1,t3,117
weather1,1,t3,117
weather1,7,t3,117
weather1,2,t3,117
weather1,3,t3,117
weather1,1,t3,21
weather1,2,t3,25
weather1,5,t3,25
weather1,3,t3,25
weather1,9,t3,29
weather1,7,t3,29
weather1,2,t3,29
weather1,8,t3,41
weather1,4,t3,41
weather1,2,t3,45
weather1,5,t3,53
weather1,9,t3,53
weather1,5,t3,53
weather1,2,t3,65
weather1,6,t3,69
weather1,1,t3,69
weather1,7,t3,69
weather1,4,t3,73
weather1,4,t3,73
weather1,1,t3,73
weather1,2,t3,73
weather1,1,t3,73
weather1,6,t3,77
weather1,7,t3,77
weather1,1,t3,77
weather1,1,t3,93
weather1,1,t3,93
weather1,2,t3,93
weather1,6,t3,93
weather1,2,t3,97
weather1,2,t3,97
weather1,9,t3,97
weather1,10,t3,97
weather1,2,t3,97
weather1,1,t4,01
weather1,8,t4,01
weather1,5,t4,01
weather1,2,t4,01
weather1,3,t4,01
weather1,3,t4,01
weather1,2,t4,01
weather1,2,t4,01
weather1,4,t4,01
weather1,4,t4,01
weather1,12,t4,05
weather1,4,t4,05
weather1,4,t4,05
weather1,4,t4,05
weather1,2,t4,05
weather1,1,t4,05
weather1,1,t4,113
weather1,3,t4,113
weather1,1,t4,113
weather1,1,t4,113
weather1,3,t4,113
weather1,1,t4,113
weather1,2,t4,117
weather1,1,t4,117
weather1,8,t4,117
weather1,1,t4,117
weather1,3,t4,117
weather1,3,t4,21
weather1,6,t4,21
weather1,17,t4,21
weather1,10,t4,21
weather1,1,t4,25
weather1,12,t4,25
weather1,1,t4,25
weather1,4,t4,25
weather1,2,t4,25
weather1,1,t4,25
weather1,2,t4,25
weather1,5,t4,29
weather1,5,t4,29
weather1,1,t4,29
weather1,1,t4,29
weather1,1,t4,29
weather1,4,t4,29
weather1,17,t4,41
weather1,9,t4,41
weather1,9,t4,41
weather1,1,t4,45
weather1,3,t4,45
weather1,3,t4,45
weather1,3,t4,45
weather1,5,t4,45
weather1,7,t4,45
weather1,1,t4,45
weather1,3,t4,45
weather1,1,t4,45
weather1,1,t4,45
weather1,1,t4,53
weather1,12,t4,53
weather1,1,t4,53
weather1,1,t4,53
weather1,4,t4,53
weather1,5,t4,53
weather1,2,t4,53
weather1,1,t4,53
weather1,2,t4,65
weather1,1,t4,65
weather1,1,t4,65
weather1,2,t4,65
weather1,3,t4,65
weather1,4,t4,65
weather1,2,t4,65
weather1,4,t4,69
weather1,12,t4,69
weather1,19,t4,69
weather1,2,t4,73
weather1,4,t4,73
weather1,4,t4,73
weather1,11,t4,73
weather1,1,t4,73
weather1,3,t4,77
weather1,1,t4,77
weather1,3,t4,77
weather1,4,t4,93
weather1,2,t4,93
weather1,9,t4,93
weather1,1,t4,93
weather1,3,t4,97
weather1,1,t4,97
weather1,5,t4,97
weather1,4,t4,97
weather1,7,t4,97
weather1,1,t4,97
